Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,KM [CH2],KMD [CH2],NKM [CH2],I,H/C,N/C,O/C,O/N,S/C,rdb
,1,C11H24O,100,172.182167,0.2,0.1,23.7,0.5,odd,ok,171.989877,0.010123,172,,2.182,0,0.091,0,0,0.5
,1,C11H24O,100,172.182167,0.2,0.1,23.7,0.5,odd,ok,171.989877,0.010123,172,,2.182,0,0.091,0,0,0.5
,1,C11H24O,100,172.182167,0.2,0.1,23.7,0.5,odd,ok,171.989877,0.010123,172,,2.182,0,0.091,0,0,0.5
,1,C11H24O,100,172.182167,0.2,0.1,23.7,0.5,odd,ok,171.989877,0.010123,172,,2.182,0,0.091,0,0,0.5
,1,C11H24O,100,172.182167,0.2,0.1,23.7,0.5,odd,ok,171.989877,0.010123,172,,2.182,0,0.091,0,0,0.5
172.205969,1,C11H26N,100,172.205976,0,0,n.a.,0,even,ok,172.013682,-0.013682,172,2466872,2.364,0.091,0,0,0,0
,1,C11H26N,100,172.205976,0,0,n.a.,0,even,ok,172.013682,-0.013682,172,,2.364,0.091,0,0,0,0
,1,C11H26N,100,172.205976,0,0,n.a.,0,even,ok,172.013682,-0.013682,172,,2.364,0.091,0,0,0,0
,1,C11H26N,100,172.205976,0,0,n.a.,0,even,ok,172.013682,-0.013682,172,,2.364,0.091,0,0,0,0
,1,C11H26N,100,172.205976,0,0,n.a.,0,even,ok,172.013682,-0.013682,172,,2.364,0.091,0,0,0,0
,1,C11H26N,100,172.205976,0,0,n.a.,0,even,ok,172.013682,-0.013682,172,,2.364,0.091,0,0,0,0
,1,C11H26N,100,172.205976,0,0,n.a.,0,even,ok,172.013682,-0.013682,172,,2.364,0.091,0,0,0,0
173.189992,1,C11H25O,100,173.189992,0,0.1,25.1,0,even,ok,172.996606,0.003394,173,2411507,2.273,0,0.091,0,0,0
,1,C11H25O,100,173.189992,0,0.1,25.1,0,even,ok,172.996606,0.003394,173,,2.273,0,0.091,0,0,0
,1,C11H25O,100,173.189992,0,0.1,25.1,0,even,ok,172.996606,0.003394,173,,2.273,0,0.091,0,0,0
,1,C11H25O,100,173.189992,0,0.1,25.1,0,even,ok,172.996606,0.003394,173,,2.273,0,0.091,0,0,0
,1,C11H25O,100,173.189992,0,0.1,25.1,0,even,ok,172.996606,0.003394,173,,2.273,0,0.091,0,0,0
,1,C11H25O,100,173.189992,0,0.1,25.1,0,even,ok,172.996606,0.003394,173,,2.273,0,0.091,0,0,0
175.151495,1,C10H23S,100,175.151498,0,-2,111.1,2,even,ok,174.955919,0.044081,175,2672489,2.3,0,0,0,0.1,2
,1,C10H23S,100,175.151498,0,-2,111.1,2,even,ok,174.955919,0.044081,175,,2.3,0,0,0,0.1,2
,1,C10H23S,100,175.151498,0,-2,111.1,2,even,ok,174.955919,0.044081,175,,2.3,0,0,0,0.1,2
,1,C10H23S,100,175.151498,0,-2,111.1,2,even,ok,174.955919,0.044081,175,,2.3,0,0,0,0.1,2
,1,C10H23S,100,175.151498,0,-2,111.1,2,even,ok,174.955919,0.044081,175,,2.3,0,0,0,0.1,2
,1,C10H23S,100,175.151498,0,-2,111.1,2,even,ok,174.955919,0.044081,175,,2.3,0,0,0,0.1,2
176.159306,1,C10H24S,100,176.159323,0.1,0.1,10.9,1.5,odd,ok,175.962605,0.037395,176,16998328,2.4,0,0,0,0.1,1.5
,1,C10H24S,100,176.159323,0.1,0.1,10.9,1.5,odd,ok,175.962605,0.037395,176,,2.4,0,0,0,0.1,1.5
,1,C10H24S,100,176.159323,0.1,0.1,10.9,1.5,odd,ok,175.962605,0.037395,176,,2.4,0,0,0,0.1,1.5
,1,C10H24S,100,176.159323,0.1,0.1,10.9,1.5,odd,ok,175.962605,0.037395,176,,2.4,0,0,0,0.1,1.5
,1,C10H24S,100,176.159323,0.1,0.1,10.9,1.5,odd,ok,175.962605,0.037395,176,,2.4,0,0,0,0.1,1.5
,1,C10H24S,100,176.159323,0.1,0.1,10.9,1.5,odd,ok,175.962605,0.037395,176,,2.4,0,0,0,0.1,1.5
177.148523,1,C9H21O3,100,177.148521,0,-4.2,464.8,0,even,ok,176.950717,0.049283,177,765155,2.333,0,0.333,0,0,0
,1,C9H21O3,100,177.148521,0,-4.2,464.8,0,even,ok,176.950717,0.049283,177,,2.333,0,0.333,0,0,0
,1,C9H21O3,100,177.148521,0,-4.2,464.8,0,even,ok,176.950717,0.049283,177,,2.333,0,0.333,0,0,0
,1,C9H21O3,100,177.148521,0,-4.2,464.8,0,even,ok,176.950717,0.049283,177,,2.333,0,0.333,0,0,0
,1,C9H21O3,100,177.148521,0,-4.2,464.8,0,even,ok,176.950717,0.049283,177,,2.333,0,0.333,0,0,0
,1,C9H21O3,100,177.148521,0,-4.2,464.8,0,even,ok,176.950717,0.049283,177,,2.333,0,0.333,0,0,0
178.171593,1,C13H22,100,178.171602,0.1,0,6,3.5,odd,ok,177.972645,0.027355,178,7815871,1.692,0,0,0,0,3.5
,1,C13H22,100,178.171602,0.1,0,6,3.5,odd,ok,177.972645,0.027355,178,,1.692,0,0,0,0,3.5
,1,C13H22,100,178.171602,0.1,0,6,3.5,odd,ok,177.972645,0.027355,178,,1.692,0,0,0,0,3.5
,1,C13H22,100,178.171602,0.1,0,6,3.5,odd,ok,177.972645,0.027355,178,,1.692,0,0,0,0,3.5
,1,C13H22,100,178.171602,0.1,0,6,3.5,odd,ok,177.972645,0.027355,178,,1.692,0,0,0,0,3.5
,1,C13H22,100,178.171602,0.1,0,6,3.5,odd,ok,177.972645,0.027355,178,,1.692,0,0,0,0,3.5
